日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),Date,unixtime,PAofInning,Inning,Batter,name
2025年 3月 2日 日曜日 11:20:24,1 長崎,右,Live Pitch,20,38,37,111.7,7.6,36,20,111,70,-8,3.7,0.17,26.7,,,,2025/3/2,1740882024,1,2,杉浦,"Kaito, Sugiura"
2025年 3月 2日 日曜日 11:22:17,2 中井,右,Live Pitch,69,80,74,97.7,22.7,86,-7,90,87,-20,3.4,0.14,41.5,,,,2025/3/2,1740882137,2,2,秋元,"Ryo, Akimoto"
2025年 3月 2日 日曜日 11:23:51,3 慶応 ,左,Live Pitch,56,53,51,94.8,13.2,72,15,86,72,-22,2.48,0.18,28.8,,,,2025/3/2,1740882231,3,2,黒武者,"Tetsuta, Kuromusha"
2025年 3月 2日 日曜日 11:24:14,3 慶応 ,左,Live Pitch,61,58,41,88.2,9.0,78,7,95,78,-21,2.01,0.19,28.8,,,,2025/3/2,1740882254,3,2,黒武者,"Tetsuta, Kuromusha"
2025年 3月 2日 日曜日 11:25:06,3 慶応 ,左,Live Pitch,63,60,50,97.5,12.7,79,8,92,77,-24,2.63,0.18,29.3,,,,2025/3/2,1740882306,3,2,黒武者,"Tetsuta, Kuromusha"
2025年 3月 2日 日曜日 11:36:40,2 中井,左,Live Pitch,25,48,77,96.7,24.1,42,10,112,94,-31,3.34,0.14,34.6,,,,2025/3/2,1740883000,2,3,酒井,"Suguru, Sakai"
2025年 3月 2日 日曜日 11:37:49,3 慶応 ,左,Live Pitch,57,36,48,89.8,12.2,74,1,67,68,-40,2.48,0.16,29.6,,,,2025/3/2,1740883069,3,3,明石,"Ken, Akashi"
2025年 3月 2日 日曜日 12:09:28,1 長崎,右,Live Pitch,20,54,44,112.5,10.5,36,19,96,76,-27,3.7,0.17,28.6,,,,2025/3/2,1740884968,1,4,工藤,"Yudai, Kudo"
2025年 3月 2日 日曜日 12:09:46,1 長崎,右,Live Pitch,48,60,35,102.0,6.6,65,4,97,81,-32,3.28,0.16,25.7,,,,2025/3/2,1740884986,1,4,工藤,"Yudai, Kudo"
2025年 3月 2日 日曜日 12:10:06,1 長崎,右,Live Pitch,34,47,41,89.6,9.1,51,4,84,68,-26,2.39,0.17,24.6,,,,2025/3/2,1740885006,1,4,工藤,"Yudai, Kudo"
2025年 3月 2日 日曜日 12:10:25,1 長崎,右,Live Pitch,40,59,49,94.3,12.4,57,12,98,82,-30,2.88,0.15,24.6,,,,2025/3/2,1740885025,1,4,工藤,"Yudai, Kudo"
2025年 3月 2日 日曜日 12:41:53,1 長崎,左,Live Pitch,24,46,77,110.7,24.2,40,18,113,84,-19,3.97,0.15,34.0,,,,2025/3/2,1740886913,1,6,酒井,"Suguru, Sakai"
2025年 3月 2日 日曜日 12:43:42,2 中井,左,Live Pitch,49,36,46,91.4,11.2,66,18,74,62,-34,2.48,0.17,29.9,,,,2025/3/2,1740887022,2,6,明石,"Ken, Akashi"
2025年 3月 2日 日曜日 12:44:28,2 中井,左,Live Pitch,55,32,49,85.9,12.4,72,10,65,63,-37,2.19,0.17,29.5,,,,2025/3/2,1740887068,2,6,明石,"Ken, Akashi"
2025年 3月 2日 日曜日 13:13:48,2 中井,右,Live Pitch,51,58,41,104.9,9.1,68,4,97,80,-31,3.67,0.15,27.2,,,,2025/3/2,1740888828,2,7,杉浦,"Kaito, Sugiura"
2025年 3月 2日 日曜日 13:15:11,3 慶応 ,左,Live Pitch,44,51,44,108.0,10.2,61,16,111,93,-35,3.68,0.16,34.8,,,,2025/3/2,1740888911,3,7,成瀬,"Yuto, Naruse"
2025年 3月 2日 日曜日 13:30:46,2 中井,左,Live Pitch,55,76,41,96.4,9.3,71,4,89,85,-25,2.89,0.16,30.6,,,,2025/3/2,1740889846,2,8,小村,"Osuke, Komura"
2025年 3月 2日 日曜日 13:31:21,3 慶応 ,左,Live Pitch,43,59,57,96.6,15.8,60,3,98,82,-31,3.02,0.15,31.4,,,,2025/3/2,1740889881,3,8,酒井,"Suguru, Sakai"
2025年 3月 2日 日曜日 13:33:07,5 中井,右,Live Pitch,20,48,32,101.2,5.4,34,25,109,82,-12,2.83,0.18,26.7,,,,2025/3/2,1740889987,5,8,堀部,"Kohei, Horibe"
2025年 3月 2日 日曜日 13:34:18,5 中井,右,Live Pitch,41,51,36,96.7,7.2,57,23,97,73,-17,2.78,0.17,27.8,,,,2025/3/2,1740890058,5,8,堀部,"Kohei, Horibe"
2025年 3月 2日 日曜日 13:51:47,3 慶応 ,左,Live Pitch,44,57,47,104.6,11.9,61,15,82,80,-29,3.32,0.16,31.5,,,,2025/3/2,1740891107,3,9,成瀬,"Yuto, Naruse"
2025年 3月 2日 日曜日 13:53:32,5 中井,左,Live Pitch,66,59,44,90.6,10.5,82,0,82,81,-31,2.7,0.15,28.5,,,,2025/3/2,1740891212,5,9,小村,"Osuke, Komura"
